source,target,value,year,level
Algorithm,Computational science,2,1996,1
Computer graphics (images),Computational science,2,1996,1
Parallel computing,Computational science,2,1996,1
Parallel computing,Computer graphics (images),2,1996,1
Algorithm,Computer graphics (images),2,1996,1
Computer vision,Human–computer interaction,2,1996,1
Geometry,Computer vision,2,1996,1
Parallel computing,Algorithm,2,1996,1
Data mining,Information retrieval,2,1996,1
World Wide Web,Information retrieval,2,1996,1
Data mining,Data science,2,1996,1
Engineering drawing,Human–computer interaction,2,1996,1
Computer vision,Optics,1,1996,1
Computer vision,Acoustics,1,1996,1
Artificial intelligence,Acoustics,1,1996,1
Computer graphics (images),Acoustics,1,1996,1
Geophysics,Computational science,1,1996,1
Engineering drawing,Computer graphics (images),1,1996,1
Geometry,Computer graphics (images),1,1996,1
Data mining,Computer graphics (images),1,1996,1
Speech recognition,Artificial intelligence,1,1996,1
Geometry,Algorithm,1,1996,1
Speech recognition,Computer vision,1,1996,1
Parallel computing,Theoretical computer science,1,1996,1
Distributed computing,Human–computer interaction,1,1996,1
Computer graphics (images),Distributed computing,1,1996,1
Telecommunications,Electronic engineering,1,1996,1
Algorithm,Artificial intelligence,1,1996,1
Geometry,Artificial intelligence,1,1996,1
Programming language,Computer graphics (images),1,1996,1
Data mining,Human–computer interaction,1,1996,1
Programming language,Software engineering,1,1996,1
Programming language,Human–computer interaction,1,1996,1
Software engineering,Human–computer interaction,1,1996,1
Database,World Wide Web,1,1996,1
Database,Information retrieval,1,1996,1
Multimedia,Computer network,1,1996,1
World Wide Web,Computer network,1,1996,1
Data science,World Wide Web,1,1996,1
Data science,Information retrieval,1,1996,1
Natural language processing,Artificial intelligence,1,1996,1
Natural language processing,Information retrieval,1,1996,1
Natural language processing,Human–computer interaction,1,1996,1
Artificial intelligence,Information retrieval,1,1996,1
Computer graphics (images),Information retrieval,1,1996,1
Anatomy,Computer vision,1,1996,1
Anatomy,Artificial intelligence,1,1996,1
Algorithm,Applied mathematics,1,1996,1
Algorithm,Computer vision,1,1996,1
Computational science,Computer vision,1,1996,1
Computational science,Artificial intelligence,1,1996,1
Computational science,Computer graphics (images),1,1996,1
Theoretical computer science,Information retrieval,1,1996,1
Data science,Data mining,1,1996,1
Computer vision,Artificial intelligence,16,1997,1
Artificial intelligence,Computer graphics (images),14,1997,1
Computer vision,Computer graphics (images),13,1997,1
Data mining,Artificial intelligence,8,1997,1
Artificial intelligence,Algorithm,7,1997,1
Computer graphics (images),Algorithm,7,1997,1
Computer graphics (images),Human–computer interaction,5,1997,1
Data mining,Information retrieval,5,1997,1
Computer vision,Algorithm,5,1997,1
Information retrieval,Human–computer interaction,5,1997,1
Theoretical computer science,Algorithm,5,1997,1
Data mining,Theoretical computer science,4,1997,1
Software engineering,Human–computer interaction,4,1997,1
Data science,Human–computer interaction,4,1997,1
Data science,Information retrieval,4,1997,1
Data mining,Human–computer interaction,4,1997,1
Mathematical optimization,Algorithm,3,1997,1
Computational science,Algorithm,3,1997,1
Data mining,Data science,3,1997,1
Multimedia,Human–computer interaction,3,1997,1
Data mining,Computer graphics (images),3,1997,1
Algorithm,Combinatorics,2,1997,1
Theoretical computer science,Computer graphics (images),2,1997,1
Multimedia,Computer graphics (images),2,1997,1
Artificial intelligence,Information retrieval,2,1997,1
Mathematical optimization,Artificial intelligence,2,1997,1
Data mining,Algorithm,2,1997,1
Optics,Computer vision,1,1997,1
Data mining,Distributed computing,1,1997,1
Computer graphics (images),Information retrieval,1,1997,1
Data mining,Machine learning,1,1997,1
Artificial intelligence,Machine learning,1,1997,1
Multimedia,Software engineering,1,1997,1
Multimedia,Information retrieval,1,1997,1
Software engineering,Computer graphics (images),1,1997,1
Data science,Operations research,1,1997,1
Theoretical computer science,Human–computer interaction,1,1997,1
Algorithm,Human–computer interaction,1,1997,1
Data science,Artificial intelligence,1,1997,1
Optics,Artificial intelligence,1,1997,1
Computer graphics (images),Combinatorics,1,1997,1
Optics,Computer graphics (images),1,1997,1
Programming language,World Wide Web,1,1997,1
Programming language,Computer graphics (images),1,1997,1
Programming language,Engineering drawing,1,1997,1
World Wide Web,Computer graphics (images),1,1997,1
World Wide Web,Engineering drawing,1,1997,1
Computer graphics (images),Engineering drawing,1,1997,1
Remote sensing,Aerospace engineering,1,1997,1
Remote sensing,Meteorology,1,1997,1
Aerospace engineering,Meteorology,1,1997,1
Mathematical optimization,Computational science,1,1997,1
Data science,Software engineering,1,1997,1
Mathematical optimization,Computer vision,1,1997,1
Theoretical computer science,Information retrieval,1,1997,1
Database,Algorithm,1,1997,1
Mechanics,Acoustics,1,1997,1
Classical mechanics,Geometry,1,1997,1
Classical mechanics,Mathematical analysis,1,1997,1
Geometry,Mathematical analysis,1,1997,1
Geometry,Algorithm,1,1997,1
Real-time computing,Computer graphics (images),1,1997,1
Real-time computing,Algorithm,1,1997,1
Theoretical computer science,Database,1,1997,1
Theoretical computer science,Artificial intelligence,1,1997,1
Data mining,Database,1,1997,1
Computer graphics (images),Computational science,1,1997,1
Mathematical analysis,Pure mathematics,1,1997,1
Data mining,Computer vision,1,1997,1
Computer vision,Human–computer interaction,1,1997,1
Artificial intelligence,Human–computer interaction,1,1997,1
Information retrieval,Data mining,1,1997,1
Data science,Data mining,1,1997,1
Data mining,Software engineering,1,1997,1
Parallel computing,Computer graphics (images),1,1997,1
World Wide Web,Human–computer interaction,1,1997,1
Computational science,Computer graphics (images),1,1997,1
Engineering drawing,Computer graphics (images),1,1997,1
Computer vision,Artificial intelligence,22,1998,1
Artificial intelligence,Computer graphics (images),15,1998,1
Computer vision,Computer graphics (images),14,1998,1
Computer graphics (images),Human–computer interaction,5,1998,1
Data mining,Artificial intelligence,4,1998,1
Data mining,Theoretical computer science,4,1998,1
Artificial intelligence,Algorithm,4,1998,1
Theoretical computer science,Algorithm,4,1998,1
Geometry,Computer vision,3,1998,1
Computer graphics (images),Algorithm,3,1998,1
Geometry,Algorithm,3,1998,1
Geometry,Artificial intelligence,3,1998,1
Data science,Human–computer interaction,3,1998,1
Geometry,Computer graphics (images),3,1998,1
Computational science,Algorithm,2,1998,1
Algorithm,Geometry,2,1998,1
Multimedia,Human–computer interaction,2,1998,1
Algorithm,Computer vision,2,1998,1
Algorithm,Artificial intelligence,2,1998,1
Computer vision,Algorithm,2,1998,1
Geometry,Mathematical analysis,2,1998,1
Algorithm,Computer graphics (images),2,1998,1
Data mining,Algorithm,2,1998,1
World Wide Web,Human–computer interaction,2,1998,1
