Year,DOI,Award,Track,Title,Author
2015,10.1109/TVCG.2015.2467451,BP,InfoVis,HOLA: Human-like Orthogonal Network Layout.,"Steve Kieffer, Tim Dwyer, Kim Marriott, Michael Wybrow."
2015,10.1109/TVCG.2015.2467153,BP,SciVis,Visualization-by-Sketching: An Artistâs Interface for Creating Multivariate Time-Varying Data Visualizations.,"David Schroeder, Daniel F. Keefe."
2015,10.1109/TVCG.2015.2468078,BP,VAST,Reducing Snapshots to Points: A Visual Analytics Approach to Dynamic Network Exploration.,"Stef van den Elzen, Danny Holten, Jorik Blaas, Jarke J. van Wijk."
2015,10.1109/TVCG.2015.2467671,HM,InfoVis,Beyond Weberâs Law: A Second Look at Ranking Visualizations of Correlation.,"Matthew Kay, Jeffrey Heer."
2015,10.1109/TVCG.2015.2467200,HM,SciVis,Rotation Invariant Vortices for Flow Visualization.,"Tobias GÃ¼nther, Maik Schulze, Holger Theisel."
2015,10.1109/TVCG.2015.2467613,HM,VAST,A Case Study Using Visualization Interaction Logs and Insight Metrics to Understand How Analysts Arrive at Insights.,"Hua Guo, Steven R. Gomez, Caroline Ziemkiewicz, David H. Laidlaw."
2015,10.1109/TVCG.2015.2467871,HM,VAST,VA2: A Visual Analytics Approach for Evaluating Visual Analytics Applications.,"Tanja Blascheck, Markus John, Kuno Kurzhals, Steffen Koch, Thomas Ertl."
2014,10.1109/TVCG.2014.2346441,BP,InfoVis,Multivariate Network Exploration and Presentation: From Detail to Overview via Selections and Aggregations.,"Stef van den Elzen, Jarke J. van Wijk."
2014,10.1109/TVCG.2014.2346411,BP,SciVis,Visualization of Brain Microstructure Through Spherical Harmonics Illumination of High Fidelity Spatio-Angular Fields.,"Sujal Bista, Jiachen Zhuo, Rao P. Gullapalli, Amitabh Varshney."
2014,10.1109/TVCG.2014.2346573,BP,VAST,Supporting Communication and Coordination in Collaborative Sensemaking.,"Narges Mahyar, Melanie Tory."
2014,10.1109/TVCG.2014.2346260,HM,InfoVis,"Domino: Extracting, Comparing, and Manipulating Subsets Across Multiple Tabular Datasets.","Samuel Gratzl, Nils Gehlenborg, Alexander Lex, Hanspeter Pfister, Marc Streit."
2014,10.1109/TVCG.2014.2346312,HM,InfoVis,NeuroLines: A Subway Map Metaphor for Visualizing Nanoscale Neuronal Connectivity.,"Ali K. Al-Awami, Johanna Beyer, Hendrik Strobelt, Narayanan Kasthuri, Jeff W. Lichtman, Hanspeter Pfister, Markus Hadwiger."
2014,10.1109/TVCG.2014.2346325,HM,InfoVis,An Algebraic Process for Visualization Design.,"Gordon Kindlmann, Carlos Scheidegger."
2014,10.1109/TVCG.2014.2346412,HM,SciVis,A Robust Parity Test for Extracting Parallel Vectors in 3D.,"Tao Ju, Minxin Cheng, Xu Wang, Ye Duan."
2014,10.1109/TVCG.2014.2346446,HM,SciVis,City Forensics: Using Visual Elements to Predict Non-Visual City Attributes.,"Sean M. Arietta, Alexei A. Efros, Ravi Ramamoorthi, Maneesh Agrawala."
2014,10.1109/TVCG.2014.2346912,HM,VAST,LoyalTracker: Visualizing Loyalty Dynamics in Search Engines.,"Conglei Shi, Yingcai Wu, Shixia Liu, Hong Zhou, Huamin Qu."
2014,10.1109/TVCG.2014.2346922,HM,VAST,#FluxFlow: Visual Analysis of Anomalous Information Spreading on Social Media.,"Jian Zhao, Nan Cao, Zhen Wen, Yale Song, Yu-Ru Lin, Christopher Collins."
2013,10.1109/TVCG.2013.173,BP,InfoVis,LineUp: Visual Analysis of Multi-Attribute Rankings.,"Samuel Gratzl, Alexander Lex, Nils Gehlenborg, Hanspeter Pfister, Marc Streit."
2013,10.1109/TVCG.2013.141,BP,SciVis,Comparative Visual Analysis of Lagrangian Transport in CFD Ensembles.,"Mathias Hummel, Harald Obermaier, Christoph Garth, Kenneth I. Joy."
2013,10.1109/TVCG.2013.125,BP,VAST,A Partition-Based Framework for Building and Validating Regression Models.,"Thomas MÃ¼hlbacher, Harald Piringer."
2013,10.1109/TVCG.2013.179,HM,InfoVis,Nanocubes for Real-Time Exploration of Spatiotemporal Datasets.,"Lauro Lins, James T. Klosowski, Carlos Scheidegger."
2013,10.1109/TVCG.2013.192,HM,InfoVis,SoccerStories: A Kick-off for Visual Soccer Analysis.,"Charles Perin, Romain Vuillemot, Jean-Daniel Fekete."
2013,10.1109/TVCG.2013.128,HM,SciVis,Adaptive Refinement of the Flow Map Using Sparse Samples.,"Samer S. Barakat, Xavier Tricoche."
2013,10.1109/TVCG.2013.129,HM,SciVis,Ambient Volume Scattering.,"Marco Ament, Filip Sadlo, Daniel Weiskopf."
2013,10.1109/TVCG.2013.147,HM,SciVis,Design by Dragging: An Interface for Creative Forward and Inverse Design with Simulation Ensembles.,"Dane Coffey, Chi-Lun Lin, Arthur G. Erdman, Daniel F. Keefe."
2013,10.1109/TVCG.2013.157,HM,VAST,Explainers: Expert Explorations with Crafted Projections.,Michael Gleicher.
2013,10.1109/TVCG.2013.200,HM,VAST,Temporal Event Sequence Simplification.,"Megan Monroe, Rongjian Lan, Hanseung Lee, Catherine Plaisant, Ben Shneiderman."
2012,10.1109/TVCG.2012.233,BP,InfoVis,How Capacity Limits of Attention Influence Information Visualization Effectiveness.,"Steve Haroz, David Whitney."
2012,10.1109/TVCG.2012.231,BP,SciVis,Hierarchical Exploration of Volumes Using Multilevel Segmentation of the Intensity-Gradient Histograms.,"Cheuk Yiu Ip, Amitabh Varshney, Joseph JaJa."
2012,10.1109/TVCG.2012.276,BP,VAST,Visual Analytics Methodology for Eye Movement Studies.,"Gennady Andrienko, Natalia Andrienko, Michael Burch, Daniel Weiskopf."
2012,10.1109/TVCG.2012.199,HM,InfoVis,Assessing the Effect of Visualizations on Bayesian Reasoning through Crowdsourcing.,"Luana Micallef, Pierre Dragicevic, Jean-Daniel Fekete."
2012,10.1109/TVCG.2012.213,HM,InfoVis,Design Study Methodology: Reflections from the Trenches and the Stacks.,"Michael Sedlmair, Miriah Meyer, Tamara Munzner."
2012,10.1109/TVCG.2012.279,HM,InfoVis,Visual Semiotics & Uncertainty Visualization: An Empirical Study.,"Alan M. MacEachren, Robert E. Roth, James OâBrien, Bonan Li, Derek Swingley, Mark Gahegan."
2012,10.1109/TVCG.2012.217,HM,SciVis,Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input.,"Lingyun Yu, Konstantinos Efstathiou, Petra Isenberg, Tobias Isenberg."
2012,10.1109/TVCG.2012.240,HM,SciVis,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach.,"Markus Hadwiger, Johanna Beyer, Won-Ki Jeong, Hanspeter Pfister."
2012,10.1109/TVCG.2012.219,HM,VAST,Enterprise Data Analysis and Visualization: An Interview Study.,"Sean Kandel, Andreas Paepcke, Joseph M. Hellerstein, Jeffrey Heer."
2012,10.1109/TVCG.2012.254,HM,VAST,Reinventing the Contingency Wheel: Scalable Visual Analytics of Large Categorical Data.,"Bilal Alsallakh, Wolfgang Aigner, Silvia Miksch, M. Eduard GrÃ¶ller."
2011,10.1109/TVCG.2011.183,BP,InfoVis,Context-Preserving Visual Links.,"Markus Steinberger, Manuela Waldner, Marc Streit, Alexander Lex, Dieter Schmalstieg."
2011,10.1109/VAST.2011.6102454,BP,VAST,From movement tracks through events to places: Extracting and characterizing significant places from mobility data.,"Gennady Andrienko, Natalia Andrienko, Christophe Hurter, Salvatore Rinzivillo, Stefan Wrobel."
2011,10.1109/TVCG.2011.245,BP,Vis,Towards Robust Topology of Sparsely Sampled Data.,"Carlos Correa, Peter Lindstrom."
2011,10.1109/TVCG.2011.175,HM,InfoVis,Benefitting InfoVis with Visual Difficulties.,"Jessica Hullman, Eytan Adar, Priti Shah."
2011,10.1109/TVCG.2011.220,HM,InfoVis,Local Affine Multidimensional Projection.,"Paulo Joia, Danilo Coimbra, Jose A. Cuminato, Fernando V. Paulovich, Luis G. Nonato."
2011,10.1109/VAST.2011.6102440,HM,VAST,Network-based visual analysis of tabular data.,"Zhicheng Liu, Shamkant B. Navathe, John T. Stasko."
2011,10.1109/VAST.2011.6102443,HM,VAST,Visual social network analytics for relationship discovery in the enterprise.,"Adam Perer, Ido Guy, Erel Uziel, Inbal Ronen, Michal Jacovi."
2011,10.1109/VAST.2011.6102445,HM,VAST,How locus of control influences compatibility with visualization style.,"Caroline Ziemkiewicz, R. Jordan Crouser, Ashley Rye Yauilla, Sara L. Su, William Ribarsky, Remco Chang."
2011,10.1109/TVCG.2011.168,HM,Vis,Artificial Defocus for Displaying Markers in Microscopy Z-Stacks.,"Alessandro Giusti, Pierluigi Taddei, Giorgio Corani, Luca Gambardella, Cristina Magli, Luca Gianaroli."
2011,10.1109/TVCG.2011.231,HM,Vis,Saliency-Assisted Navigation of Very Large Landscape Images.,"Cheuk Yiu Ip, Amitabh Varshney."
2011,10.1109/TVCG.2011.259,HM,Vis,Voronoi-Based Extraction and Visualization of Molecular Paths.,"Norbert Lindow, Daniel Baum, Hans-Christian Hege."
