Year,DOI,Title,Number of Authors,Author Name,Author Position,Author Position Type,OpenAlex Author ID,Author ORCID,Number of Affiliations,First Institution Name,Raw Affiliation String,First Institution ID,First Institution ROR,First Institution Type,First Institution Country Code
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3,Elke A. Rundensteiner,3,last,https://openalex.org/A2289414603,https://orcid.org/0000-0001-5375-9254,1.0,Worcester Polytechnic Institute,"Computer Science Dept., Worcester Polytechnic Institute, Worcester, MA#TAB#",https://openalex.org/I107077323,https://ror.org/05ejpqr48,education,US
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,3,John Stasko,1,first,https://openalex.org/A2087252583,https://orcid.org/0000-0003-4129-7659,1.0,Georgia Institute of Technology,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, Atlanta, GA#TAB#",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,3,Carsten Görg,2,middle,https://openalex.org/A2160268547,,1.0,Georgia Institute of Technology,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, Atlanta, GA#TAB#",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,3,Zhicheng Liu,3,last,https://openalex.org/A2110342502,,1.0,Georgia Institute of Technology,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, Atlanta, GA#TAB#",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3,Joe Kniss,1,first,https://openalex.org/A2304607896,,1.0,University of Utah,"Sch. of Comput., Utah Univ., Salt Lake City, UT, USA#TAB#",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3,Gordon Kindlmann,2,middle,https://openalex.org/A275330042,,1.0,University of Utah,"Sch. of Comput., Utah Univ., Salt Lake City, UT, USA#TAB#",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3,Charles Hansen,3,last,https://openalex.org/A2059591427,,1.0,University of Utah,"Sch. of Comput., Utah Univ., Salt Lake City, UT, USA#TAB#",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5,Alexander Lex,1,first,https://openalex.org/A2034595988,https://orcid.org/0000-0001-6930-5468,1.0,Harvard University,[Hendrik Strobelt and Hanspeter Pfister are with Harvard University.],https://openalex.org/I136199984,https://ror.org/03vek6s52,education,US
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5,Nils Gehlenborg,2,middle,https://openalex.org/A257767137,https://orcid.org/0000-0003-0327-8297,1.0,Harvard University,", Harvard Medical School",https://openalex.org/I136199984,https://ror.org/03vek6s52,education,US
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5,Hendrik Strobelt,3,middle,https://openalex.org/A2499608054,https://orcid.org/0000-0002-8995-1683,1.0,Harvard University,[Hendrik Strobelt and Hanspeter Pfister are with Harvard University.],https://openalex.org/I136199984,https://ror.org/03vek6s52,education,US
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5,Romain Vuillemot,4,middle,https://openalex.org/A1275326801,,1.0,Harvard University,", Romain Vuillemot is with Harvard University",https://openalex.org/I136199984,https://ror.org/03vek6s52,education,US
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5,Hanspeter Pfister,5,last,https://openalex.org/A2102290556,https://orcid.org/0000-0002-3620-2582,1.0,Harvard University,[Hendrik Strobelt and Hanspeter Pfister are with Harvard University.],https://openalex.org/I136199984,https://ror.org/03vek6s52,education,US
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3,R. Amar,1,first,https://openalex.org/A2135995127,,1.0,Georgia Institute of Technology,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3,James Eagan,2,middle,https://openalex.org/A2036409498,,1.0,Georgia Institute of Technology,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3,John Stasko,3,last,https://openalex.org/A2087252583,https://orcid.org/0000-0003-4129-7659,1.0,Georgia Institute of Technology,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3,Susan L. Havre,1,first,https://openalex.org/A3182372061,,1.0,Pacific Northwest National Laboratory,"Battelle/Pacific Northwest Laboratories, Richland, WA, USA",https://openalex.org/I142606810,https://ror.org/05h992307,facility,US
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3,Beth Hetzler,2,middle,https://openalex.org/A1905796687,,,,,,,,
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3,Lucy T. Nowell,3,last,https://openalex.org/A2573493279,,1.0,Pacific Northwest National Laboratory,"Pacific Northwest National Laboratory,",https://openalex.org/I142606810,https://ror.org/05h992307,facility,US
