Year,DOI,Title,OpenAlex Year,OpenAlex ID,OpenAlex Title,OpenAlex DOI,OpenAlex URL,OpenAlex Venue,OpenAlex Journal,OpenAlex Publisher,OpenAlex First Page,OpenAlex Last Page
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,2013.0,https://openalex.org/W2056638635,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,https://doi.org/10.1109/tvcg.2013.226,https://doi.org/10.1109/tvcg.2013.226,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,2149,2158
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,1998.0,https://openalex.org/W2126053368,Interactive ray tracing for isosurface rendering,https://doi.org/10.5555/288216.288266,http://www2.cs.utah.edu/~shirley/papers/iso/iso.pdf,,ieee visualization,IEEE Computer Society Press,233,238
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,2007.0,https://openalex.org/W2152922709,Show Me: Automatic Presentation for Visual Analysis,https://doi.org/10.1109/tvcg.2007.70594,https://doi.org/10.1109/tvcg.2007.70594,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1137,1144
1997,10.1109/INFVIS.1997.636718,H3: laying out large directed graphs in 3D hyperbolic space,1997.0,https://openalex.org/W1968305696,H3: laying out large directed graphs in 3D hyperbolic space,https://doi.org/10.1109/infvis.1997.636718,https://doi.org/10.1109/infvis.1997.636718,,ieee symposium on information visualization,IEEE Computer Society,2,10
2000,10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,2000.0,https://openalex.org/W3148091194,Anisotropic geometric diffusion in surface processing,https://doi.org/10.1109/visual.2000.885721,https://doi.org/10.1109/visual.2000.885721,,ieee visualization,,397,405
1997,10.1109/INFVIS.1997.636792,The structure of the information visualization design space,1997.0,https://openalex.org/W1617242785,The structure of the information visualization design space,https://doi.org/10.1109/infvis.1997.636792,https://doi.org/10.1109/infvis.1997.636792,,ieee symposium on information visualization,IEEE Computer Society,92,99
1998,10.1109/VISUAL.1998.745314,Fast and memory efficient polygonal simplification,1998.0,https://openalex.org/W2144083240,Fast and memory efficient polygonal simplification,https://doi.org/10.5555/288216.288288,http://dx.doi.org/10.1109/VISUAL.1998.745314,,ieee visualization,IEEE Computer Society Press,279,286
2009,10.1109/TVCG.2009.171,Participatory Visualization with Wordle,2009.0,https://openalex.org/W2016268421,Participatory Visualization with Wordle,https://doi.org/10.1109/tvcg.2009.171,https://doi.org/10.1109/tvcg.2009.171,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1137,1144
2001,10.1109/INFVIS.2001.963273,Visualizing time-series on spirals,2001.0,https://openalex.org/W2097236039,Visualizing time-series on spirals,https://doi.org/10.1109/infvis.2001.963273,https://doi.org/10.1109/infvis.2001.963273,,ieee symposium on information visualization,IEEE Computer Society,7,13
2007,10.1109/TVCG.2007.70535,A Taxonomy of Clutter Reduction for Information Visualisation,2007.0,https://openalex.org/W2150085383,A Taxonomy of Clutter Reduction for Information Visualisation,https://doi.org/10.1109/tvcg.2007.70535,https://doi.org/10.1109/tvcg.2007.70535,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1216,1223
2004,10.1109/INFVIS.2004.1,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,2004.0,https://openalex.org/W2171381161,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,https://doi.org/10.1109/infovis.2004.1,http://dx.doi.org/10.1109/INFVIS.2004.1,,ieee symposium on information visualization,IEEE,17,24
1997,10.1109/VISUAL.1997.663875,The contour spectrum,1997.0,https://openalex.org/W2011658854,The contour spectrum,https://doi.org/10.1145/259081.259279,https://doi.org/10.1145/259081.259279,,international conference on computer graphics and interactive techniques,ACM,192,
2005,10.1109/VISUAL.2005.1532788,VisTrails: enabling interactive multiple-view visualizations,2005.0,https://openalex.org/W2097284091,VisTrails: enabling interactive multiple-view visualizations,https://doi.org/10.1109/vis.2005.113,https://doi.org/10.1109/vis.2005.113,,ieee visualization,IEEE,135,142
2006,10.1109/TVCG.2006.166,Network Visualization by Semantic Substrates,2006.0,https://openalex.org/W2167306162,Network Visualization by Semantic Substrates,https://doi.org/10.1109/tvcg.2006.166,https://doi.org/10.1109/tvcg.2006.166,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,733,740
2008,10.1109/TVCG.2008.166,Stacked Graphs - Geometry & Aesthetics,2008.0,https://openalex.org/W2147997165,Stacked Graphs – Geometry & Aesthetics,https://doi.org/10.1109/tvcg.2008.166,https://doi.org/10.1109/tvcg.2008.166,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1245,1252
1997,10.1109/VISUAL.1997.663888,Application-controlled demand paging for out-of-core visualization,1997.0,https://openalex.org/W2080193026,Application-controlled demand paging for out-of-core visualization,https://doi.org/10.5555/266989.267068,https://doi.org/10.1109/VISUAL.1997.663888,,ieee visualization,IEEE Computer Society Press,235,244
1990,10.1109/VISUAL.1990.146375,A problem-oriented classification of visualization techniques,1990.0,https://openalex.org/W2093772787,A problem-oriented classification of visualization techniques,https://doi.org/10.5555/949531.949553,http://dx.doi.org/10.1109/VISUAL.1990.146375,,ieee visualization,IEEE Computer Society Press,139,143
2004,10.1109/INFVIS.2004.64,The InfoVis Toolkit,2004.0,https://openalex.org/W2118908268,The InfoVis Toolkit,https://doi.org/10.1109/infovis.2004.64,http://dx.doi.org/10.1109/INFVIS.2004.64,,ieee symposium on information visualization,IEEE Computer Society,167,174
2007,10.1109/TVCG.2007.70541,Casual Information Visualization: Depictions of Data in Everyday Life,2007.0,https://openalex.org/W2108458429,Casual Information Visualization: Depictions of Data in Everyday Life,https://doi.org/10.1109/tvcg.2007.70541,https://doi.org/10.1109/tvcg.2007.70541,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1145,1152
1994,10.1109/VISUAL.1994.346331,An evaluation of reconstruction filters for volume rendering,1994.0,https://openalex.org/W2111794246,An evaluation of reconstruction filters for volume rendering,https://doi.org/10.5555/951087.951109,http://dx.doi.org/10.1109/VISUAL.1994.346331,,ieee visualization,IEEE Computer Society Press,100,107
