Year,DOI,Title,OpenAlex Year,OpenAlex Publication Date,OpenAlex ID,OpenAlex Title,OpenAlex DOI,OpenAlex URL,OpenAlex Venue ID,OpenAlex Venue Name,OpenAlex Publisher,Publication Type,OpenAlex First Page,OpenAlex Last Page,Number of Pages,Number of References,Number of Authors,Number of Concepts,Number of Citations,Citation API URL,Number of Citation API URLs
2010,10.1109/VAST.2010.5652940,Two-stage framework for a topology-based projection and visualization of classified document collections,2010,2010-12-10,W2051574917,Two-stage framework for a topology-based projection and visualization of classified document collections,https://doi.org/10.1109/vast.2010.5652940,https://doi.org/10.1109/vast.2010.5652940,,visual analytics science and technology,IEEE,proceedings-article,91,98,8.0,22,7,14,21,https://api.openalex.org/works?filter=cites:W2051574917,1
2010,10.1109/TVCG.2010.169,Interactive Separating Streak Surfaces,2010,2010-11-01,W2106366041,Interactive Separating Streak Surfaces,https://doi.org/10.1109/tvcg.2010.169,https://doi.org/10.1109/tvcg.2010.169,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1569,1577,9.0,50,4,11,21,https://api.openalex.org/works?filter=cites:W2106366041,1
2011,10.1109/VAST.2011.6102458,SAVE: Sensor anomaly visualization engine,2011,2011-12-15,W2023883777,SAVE: Sensor anomaly visualization engine,https://doi.org/10.1109/vast.2011.6102458,https://doi.org/10.1109/vast.2011.6102458,,visual analytics science and technology,IEEE,proceedings-article,201,210,10.0,29,6,13,23,https://api.openalex.org/works?filter=cites:W2023883777,1
2012,10.1109/TVCG.2012.216,Effects of Stereo and Screen Size on the Legibility of Three-Dimensional Streamtube Visualization,2012,2012-12-01,W2084848678,Effects of Stereo and Screen Size on the Legibility of Three-Dimensional Streamtube Visualization,https://doi.org/10.1109/tvcg.2012.216,https://doi.org/10.1109/tvcg.2012.216,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,2130,2139,10.0,46,4,8,30,https://api.openalex.org/works?filter=cites:W2084848678,1
2012,10.1109/VAST.2012.6400489,iLAMP: Exploring high-dimensional spacing through backward multidimensional projection,2012,2012-10-14,W1963992598,iLAMP: Exploring high-dimensional spacing through backward multidimensional projection,https://doi.org/10.1109/vast.2012.6400489,https://doi.org/10.1109/vast.2012.6400489,,visual analytics science and technology,IEEE Computer Society,proceedings-article,53,62,10.0,49,6,15,32,https://api.openalex.org/works?filter=cites:W1963992598,1
2012,10.1109/TVCG.2012.254,Reinventing the Contingency Wheel: Scalable Visual Analytics of Large Categorical Data,2012,2012-12-01,W2058190445,Reinventing the Contingency Wheel: Scalable Visual Analytics of Large Categorical Data,https://doi.org/10.1109/tvcg.2012.254,https://doi.org/10.1109/tvcg.2012.254,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,2849,2858,10.0,37,4,18,24,https://api.openalex.org/works?filter=cites:W2058190445,1
2014,10.1109/TVCG.2014.2346434,Conforming Morse-Smale Complexes,2014,2014-11-06,W1971117671,Conforming Morse-Smale complexes,https://doi.org/10.1109/tvcg.2014.2346434,https://doi.org/10.1109/tvcg.2014.2346434,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,2595,2603,9.0,50,5,12,34,https://api.openalex.org/works?filter=cites:W1971117671,1
2014,10.1109/TVCG.2014.2346591,Interactive Visual Analysis of Image-Centric Cohort Study Data,2014,2014-11-06,W1980602368,Interactive Visual Analysis of Image-Centric Cohort Study Data.,https://doi.org/10.1109/tvcg.2014.2346591,https://doi.org/10.1109/tvcg.2014.2346591,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1673,1682,10.0,37,6,12,29,https://api.openalex.org/works?filter=cites:W1980602368,1
2015,10.1109/TVCG.2015.2467691,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,2016,2016-01-31,W1912392752,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,https://doi.org/10.1109/tvcg.2015.2467691,https://doi.org/10.1109/tvcg.2015.2467691,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,359,368,10.0,53,7,14,41,https://api.openalex.org/works?filter=cites:W1912392752,1
2015,10.1109/TVCG.2015.2467203,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,2016,2016-01-31,W1891775677,Cluster Analysis of Vortical Flow in Simulations of Cerebral Aneurysm Hemodynamics,https://doi.org/10.1109/tvcg.2015.2467203,https://doi.org/10.1109/tvcg.2015.2467203,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,757,766,10.0,50,4,9,29,https://api.openalex.org/works?filter=cites:W1891775677,1
2016,10.1109/TVCG.2016.2598609,Iterating between Tools to Create and Edit Visualizations,2017,2017-01-01,W2512402302,Iterating between Tools to Create and Edit Visualizations,https://doi.org/10.1109/tvcg.2016.2598609,https://doi.org/10.1109/tvcg.2016.2598609,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,481,490,10.0,29,4,12,41,https://api.openalex.org/works?filter=cites:W2512402302,1
2016,10.1109/TVCG.2016.2599058,HindSight: Encouraging Exploration through Direct Encoding of Personal Interaction History,2017,2017-01-01,W2517458416,HindSight: Encouraging Exploration through Direct Encoding of Personal Interaction History,https://doi.org/10.1109/tvcg.2016.2599058,https://doi.org/10.1109/tvcg.2016.2599058,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,351,360,10.0,32,4,9,31,https://api.openalex.org/works?filter=cites:W2517458416,1
2017,10.1109/TVCG.2017.2744184,"Scatterplots: Tasks, Data, and Designs",2018,2018-01-01,W2752662042,"Scatterplots: Tasks, Data, and Designs",https://doi.org/10.1109/tvcg.2017.2744184,https://doi.org/10.1109/tvcg.2017.2744184,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,402,412,11.0,74,2,5,66,https://api.openalex.org/works?filter=cites:W2752662042,1
2017,10.1109/TVCG.2017.2744079,A Virtual Reality Visualization Tool for Neuron Tracing,2018,2018-01-01,W2753527800,A Virtual Reality Visualization Tool for Neuron Tracing,https://doi.org/10.1109/tvcg.2017.2744079,https://doi.org/10.1109/tvcg.2017.2744079,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,994,1003,10.0,41,8,10,49,https://api.openalex.org/works?filter=cites:W2753527800,1
1992,10.1109/VISUAL.1992.235191,Optimizing triangulations by curvature equalization,1992,1992-10-19,W1993499339,Optimizing triangulations by curvature equalization,https://doi.org/10.5555/949685.949744,http://ieeexplore.ieee.org/document/235191/,,ieee visualization,IEEE Computer Society Press,proceedings-article,333,339,7.0,11,2,12,14,https://api.openalex.org/works?filter=cites:W1993499339,1
1992,10.1109/VISUAL.1992.235197,Automated design of virtual worlds for visualizing multivariate relations,1992,1992-10-19,W2139000476,Automated design of virtual worlds for visualizing multivariate relations,https://doi.org/10.5555/949685.949736,http://ieeexplore.ieee.org/document/235197/,,ieee visualization,IEEE Computer Society Press,proceedings-article,283,290,8.0,10,2,12,18,https://api.openalex.org/works?filter=cites:W2139000476,1
1992,10.1109/VISUAL.1992.235206,Visualizing code profiling line oriented statistics,1992,1992-10-19,W2117651261,Visualizing code profiling line oriented statistics,https://doi.org/10.5555/949685.949724,https://dblp.uni-trier.de/db/conf/visualization/visualization1992.html#EickS92,,ieee visualization,IEEE Computer Society Press,proceedings-article,210,217,8.0,8,2,9,15,https://api.openalex.org/works?filter=cites:W2117651261,1
1993,10.1109/VISUAL.1993.398878,Geometric clipping using Boolean textures,1993,1993-10-25,W2153797770,Geometric clipping using Boolean textures,https://doi.org/10.5555/949845.949895,https://dblp.uni-trier.de/db/conf/visualization/visualization1993.html#Lorenson93,,ieee visualization,IEEE Computer Society,proceedings-article,268,274,7.0,20,1,13,17,https://api.openalex.org/works?filter=cites:W2153797770,1
1994,10.1109/VISUAL.1994.346330,Visualizing flow with quaternion frames,1994,1994-10-17,W2108818630,Visualizing flow with quaternion frames,https://doi.org/10.5555/951087.951110,https://dblp.uni-trier.de/db/conf/visualization/visualization1994.html#HansonM94,,ieee visualization,IEEE Computer Society Press,proceedings-article,108,115,8.0,14,2,10,19,https://api.openalex.org/works?filter=cites:W2108818630,1
1997,10.1109/VISUAL.1997.663857,Singularities in nonuniform tensor fields,1997,1997-10-01,W1993631717,Singularities in nonuniform tensor fields,https://doi.org/10.5555/266989.267024,https://dblp.uni-trier.de/db/conf/visualization/visualization1997.html#LavinLH97,,ieee visualization,IEEE Computer Society Press,proceedings-article,59,66,8.0,9,3,14,16,https://api.openalex.org/works?filter=cites:W1993631717,1
1997,10.1109/VISUAL.1997.663889,GADGET: goal-oriented application design guidance for modular visualization environments,1997,1997-10-01,W1991775252,GADGET: goal-oriented application design guidance for modular visualization environments,https://doi.org/10.5555/266989.267070,http://doi.ieeecomputersociety.org/10.1109/VISUAL.1997.663889,,ieee visualization,IEEE Computer Society Press,proceedings-article,245,252,8.0,28,4,9,18,https://api.openalex.org/works?filter=cites:W1991775252,1
2000,10.1109/VISUAL.2000.885701,Uniform frequency images: adding geometry to images to produce space-efficient textures,2000,2000-10-01,W2072575084,Uniform frequency images: adding geometry to images to produce space-efficient textures,https://doi.org/10.5555/375213.375248,https://dblp.uni-trier.de/db/conf/visualization/visualization2000.html#HunterC00,,ieee visualization,IEEE Computer Society Press,proceedings-article,243,250,8.0,20,2,13,11,https://api.openalex.org/works?filter=cites:W2072575084,1
2000,10.1109/VISUAL.2000.885745,Multi-resolution visualization techniques for nested weather models,2000,2000-10-01,W2130696055,Multi-resolution visualization techniques for nested weather models,https://doi.org/10.5555/375213.375319,http://dx.doi.org/10.1109/VISUAL.2000.885745,,ieee visualization,IEEE Computer Society Press,proceedings-article,513,516,4.0,10,1,11,17,https://api.openalex.org/works?filter=cites:W2130696055,1
2003,10.1109/INFVIS.2003.1249023,Coordinated graph and scatter-plot views for the visual exploration of microarray time-series data,2003,2003-10-19,W2137120870,Coordinated graph and scatter-plot views for the visual exploration of microarray time-series data,https://doi.org/10.1109/infvis.2003.1249023,https://doi.org/10.1109/infvis.2003.1249023,,ieee symposium on information visualization,IEEE,proceedings-article,173,180,8.0,22,2,9,18,https://api.openalex.org/works?filter=cites:W2137120870,1
2004,10.1109/VISUAL.2004.29,Efficient point-based isosurface exploration using the span-triangle,2004,2004-10-10,W1964661732,Efficient Point-Based Isosurface Exploration Using the Span-Triangle,https://doi.org/10.1109/visual.2004.29,https://doi.org/10.1109/visual.2004.29,,ieee visualization,IEEE,proceedings-article,441,448,8.0,28,5,13,17,https://api.openalex.org/works?filter=cites:W1964661732,1
2004,10.1109/VISUAL.2004.87,Radial hermite operators for scattered point cloud data with normal vectors and applications to implicitizing polygon mesh surfaces for generalized CSG operations and smoothing,2004,2004-10-10,W2116810721,Radial Hermite Operators for Scattered Point Cloud Data with Normal Vectors and Applications to Implicitizing Polygon Mesh Surfaces for Generalized CSG Operations and Smoothing,https://doi.org/10.1109/visual.2004.87,https://doi.org/10.1109/visual.2004.87,,ieee visualization,IEEE Computer Society,proceedings-article,203,210,8.0,36,1,12,21,https://api.openalex.org/works?filter=cites:W2116810721,1
2005,10.1109/INFVIS.2005.1532143,Visualizing coordination in situ,2005,2005-10-23,W2113315656,Visualizing coordination in situ,https://doi.org/10.1109/infovis.2005.38,https://doi.org/10.1109/infovis.2005.38,,ieee symposium on information visualization,IEEE,proceedings-article,22,22,1.0,33,1,8,19,https://api.openalex.org/works?filter=cites:W2113315656,1
2005,10.1109/VISUAL.2005.1532811,VolQD: direct volume rendering of multi-million atom quantum dot simulations,2005,2005-11-21,W2152459663,VolQD: direct volume rendering of multi-million atom quantum dot simulations,https://doi.org/10.1109/vis.2005.130,https://doi.org/10.1109/vis.2005.130,,ieee visualization,IEEE,proceedings-article,319,326,8.0,32,5,11,18,https://api.openalex.org/works?filter=cites:W2152459663,1
2005,10.1109/VISUAL.2005.1532812,High dynamic range volume visualization,2005,2005-12-10,W4249605190,High Dynamic Range Volume Visualization,https://doi.org/10.1109/visual.2005.1532812,https://doi.org/10.1109/visual.2005.1532812,,"VIS 05. IEEE Visualization, 2005.",,proceedings-article,,,,0,4,6,1,https://api.openalex.org/works?filter=cites:W4249605190,1
2005,10.1109/VISUAL.2005.1532837,Eyegaze analysis of displays with combined 2D and 3D views,2005,2005-11-21,W2129592894,Eyegaze analysis of displays with combined 2D and 3D views,https://doi.org/10.1109/vis.2005.37,https://doi.org/10.1109/vis.2005.37,,ieee visualization,IEEE,proceedings-article,519,526,8.0,18,5,9,20,https://api.openalex.org/works?filter=cites:W2129592894,1
2006,10.1109/VAST.2006.261427,Avian Flu Case Study with nSpace and GeoTime,2006,2006-12-26,W2162857739,Avian Flu Case Study with nSpace and GeoTime,https://doi.org/10.1109/vast.2006.261427,https://doi.org/10.1109/vast.2006.261427,,visual analytics science and technology,IEEE,proceedings-article,27,34,8.0,11,6,5,22,https://api.openalex.org/works?filter=cites:W2162857739,1
2006,10.1109/TVCG.2006.114,A Trajectory-Preserving Synchronization Method for Collaborative Visualization,2006,2006-09-01,W2105912313,A Trajectory-Preserving Synchronization Method for Collaborative Visualization,https://doi.org/10.1109/tvcg.2006.114,https://doi.org/10.1109/tvcg.2006.114,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,989,996,8.0,26,3,8,22,https://api.openalex.org/works?filter=cites:W2105912313,1
2006,10.1109/TVCG.2006.141,Extensions of the Zwart-Powell Box Spline for Volumetric Data Reconstruction on the Cartesian Lattice,2006,2006-09-01,W2107135270,Extensions of the Zwart-Powell Box Spline for Volumetric Data Reconstruction on the Cartesian Lattice,https://doi.org/10.1109/tvcg.2006.141,https://doi.org/10.1109/tvcg.2006.141,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1337,1344,8.0,27,2,6,21,https://api.openalex.org/works?filter=cites:W2107135270,1
2006,10.1109/TVCG.2006.175,Scalable Data Servers for Large Multivariate Volume Visualization,2006,2006-09-01,W2142365099,Scalable Data Servers for Large Multivariate Volume Visualization,https://doi.org/10.1109/tvcg.2006.175,https://doi.org/10.1109/tvcg.2006.175,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1291,1298,8.0,28,4,11,19,https://api.openalex.org/works?filter=cites:W2142365099,1
2007,10.1109/VAST.2007.4389003,Analyzing Large-Scale News Video Databases to Support Knowledge Visualization and Intuitive Retrieval,2007,2007-10-30,W2116994965,Analyzing Large-Scale News Video Databases to Support Knowledge Visualization and Intuitive Retrieval,https://doi.org/10.1109/vast.2007.4389003,https://doi.org/10.1109/vast.2007.4389003,,visual analytics science and technology,IEEE,proceedings-article,107,114,8.0,15,5,9,18,https://api.openalex.org/works?filter=cites:W2116994965,1
2008,10.1109/VAST.2008.4677368,Multivariate visual explanation for high dimensional datasets,2008,2008-10-19,W2060669545,Multivariate visual explanation for high dimensional datasets,https://doi.org/10.1109/vast.2008.4677368,https://doi.org/10.1109/vast.2008.4677368,,visual analytics science and technology,IEEE,proceedings-article,147,154,8.0,29,5,10,22,https://api.openalex.org/works?filter=cites:W2060669545,1
2008,10.1109/TVCG.2008.168,Text Scaffolds for Effective Surface Labeling,2008,2008-11-01,W2097778683,Text Scaffolds for Effective Surface Labeling,https://doi.org/10.1109/tvcg.2008.168,https://doi.org/10.1109/tvcg.2008.168,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1675,1682,8.0,38,2,10,18,https://api.openalex.org/works?filter=cites:W2097778683,1
2010,10.1109/VAST.2010.5652910,NetClinic: Interactive visualization to enhance automated fault diagnosis in enterprise networks,2010,2010-12-10,W1981846302,NetClinic: Interactive visualization to enhance automated fault diagnosis in enterprise networks,https://doi.org/10.1109/vast.2010.5652910,https://doi.org/10.1109/vast.2010.5652910,,visual analytics science and technology,IEEE,proceedings-article,131,138,8.0,25,4,15,18,https://api.openalex.org/works?filter=cites:W1981846302,1
2010,10.1109/TVCG.2010.145,Direct Interval Volume Visualization,2010,2010-11-01,W2143725990,Direct Interval Volume Visualization,https://doi.org/10.1109/tvcg.2010.145,https://doi.org/10.1109/tvcg.2010.145,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1505,1514,10.0,48,3,15,17,https://api.openalex.org/works?filter=cites:W2143725990,1
2010,10.1109/TVCG.2010.182,On the Fractal Dimension of Isosurfaces,2010,2010-11-01,W2119690161,On the Fractal Dimension of Isosurfaces,https://doi.org/10.1109/tvcg.2010.182,https://doi.org/10.1109/tvcg.2010.182,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1198,1205,8.0,23,2,10,27,https://api.openalex.org/works?filter=cites:W2119690161,1
2011,10.1109/VAST.2011.6102463,A two-stage framework for designing visual analytics system in organizational environments,2011,2011-12-15,W1974822867,A two-stage framework for designing visual analytics system in organizational environments,https://doi.org/10.1109/vast.2011.6102463,https://doi.org/10.1109/vast.2011.6102463,,visual analytics science and technology,IEEE,proceedings-article,251,260,10.0,62,5,16,19,https://api.openalex.org/works?filter=cites:W1974822867,1
2011,10.1109/TVCG.2011.170,Asymmetric Tensor field Visualization for Surfaces,2011,2011-12-01,W2147905049,Asymmetric Tensor Field Visualization for Surfaces,https://doi.org/10.1109/tvcg.2011.170,https://doi.org/10.1109/tvcg.2011.170,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,1979,1988,10.0,48,7,12,25,https://api.openalex.org/works?filter=cites:W2147905049,1
2012,10.1109/TVCG.2012.207,Comparing Clusterings Using Bertin's Idea,2012,2012-12-01,W2013172302,Comparing Clusterings Using Bertin's Idea,https://doi.org/10.1109/tvcg.2012.207,https://doi.org/10.1109/tvcg.2012.207,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,journal-article,2506,2515,10.0,23,3,12,23,https://api.openalex.org/works?filter=cites:W2013172302,1
