Conference,Year,Title,DOI
VIS,2021,CoUX: Collaborative Visual Analysis of Think-Aloud Usability Test Videos for Digital Interfaces,10.1109/tvcg.2021.3114822
VIS,2021,Professional Differences: A Comparative Study of Visualization Task Performance and Spatial Ability Across Disciplines,10.1109/tvcg.2021.3114805
VIS,2021,"Rainbow Dash: Intuitiveness, Interpretability and Memorability of the Rainbow Color Scheme in Visualization",10.1109/tvcg.2020.3035823
VIS,2021,"Learning Objectives, Insights, and Assessments: How Specification Formats Impact Design",10.1109/tvcg.2021.3114811
VIS,2021,Untidy Data: The Unreasonable Effectiveness of Tables,10.1109/tvcg.2021.3114830
VIS,2021,Accessible Visualization via Natural Language Descriptions: A Four-Level Model of Semantic Content,10.1109/tvcg.2021.3114770
VIS,2021,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,10.1109/tvcg.2021.3114829
VIS,2021,Communicating Visualizations without Visuals: Investigation of Visualization Alternative Text for People with Visual Impairments,10.1109/tvcg.2021.3114846
VIS,2021,GenNI: Human-AI Collaboration for Data-Backed Text Generation,10.1109/tvcg.2021.3114845
VIS,2021,Words of Estimative Correlation: Studying Verbalizations of Scatterplots,10.1109/tvcg.2020.3023537
VIS,2021,FTK: A Simplicial Spacetime Meshing Framework for Robust and Scalable Feature Tracking,10.1109/tvcg.2021.3073399
VIS,2021,A Progressive Approach to Scalar Field Topology,10.1109/tvcg.2021.3060500
VIS,2021,Unordered Task-Parallel Augmented Merge Tree Construction,10.1109/tvcg.2021.3076875
VIS,2021,"Wasserstein Distances, Geodesics and Barycenters of Merge Trees",10.1109/tvcg.2021.3114839
VIS,2021,Optimization and Augmentation for Data Parallel Contour Trees,10.1109/tvcg.2021.3064385
VIS,2021,A Domain-Oblivious Approach for Learning Concise Representations of Filtered Topological Spaces for Clustering,10.1109/tvcg.2021.3114872
VIS,2021,ChartSeer: Interactive Steering Exploratory Visual Analysis with Machine Intelligence,10.1109/tvcg.2020.3018724
VIS,2021,Net2Vis - A Visual Grammar for Automatically Generating Publication-Tailored CNN Architecture Visualizations,10.1109/tvcg.2021.3057483
VIS,2021,THALIS: Human-Machine Analysis of Longitudinal Symptoms in Cancer Therapy,10.1109/tvcg.2021.3114810
VIS,2021,MultiVision: Designing Analytical Dashboards with Deep Learning Based Recommendation,10.1109/tvcg.2021.3114826
VIS,2021,Geo-Context Aware Study of Vision-Based Autonomous Driving Models and Spatial Video Data,10.1109/tvcg.2021.3114853
VIS,2021,Where Can We Help? A Visual Analytics Approach to Diagnosing and Improving Semantic Segmentation of Movable Objects,10.1109/tvcg.2021.3114855
VIS,2021,Compass: Towards Better Causal Analysis of Urban Time Series,10.1109/tvcg.2021.3114875
VIS,2021,DDLVis: Real-time Visual Query of Spatiotemporal Data Distribution via Density Dictionary Learning,10.1109/tvcg.2021.3114762
VIS,2021,Interactive Focus+Context Rendering for Hexahedral Mesh Inspection,10.1109/tvcg.2021.3074607
VIS,2021,Accelerating Unstructured Mesh Point Location with RT Cores,10.1109/tvcg.2020.3042930
VIS,2021,Probabilistic Occlusion Culling using Confidence Maps for High-Quality Rendering of Large Particle Data,10.1109/tvcg.2021.3114788
