Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Type
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",2.0,2.0,P. Hanrahan,https://openalex.org/A2225733586,"Computer Science Department, University of Stanford, USA",education
1998,10.1109/VISUAL.1998.745282,Smooth view-dependent level-of-detail control and its application to terrain rendering,1.0,1.0,H. Hoppe,https://openalex.org/A2206701583,"Microsoft Research, USA",company
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,2.0,1.0,G.M. Nielson,https://openalex.org/A2113934472,"Computer Science, Arizona State University, Tempe, AZ, USA",education
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,2.0,2.0,B. Hamann,https://openalex.org/A2122502592,"Computer Science, Arizona State University, Tempe, AZ, USA",education
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,2.0,1.0,Edward Segel,https://openalex.org/A1835294224,"University of Stanford, Stanford, CA, USA",education
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,2.0,2.0,Jeffrey Heer,https://openalex.org/A2112690490,"University of Stanford, Stanford, CA, USA",education
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,2.0,1.0,M. Garland,https://openalex.org/A2182953115,"Computer Science Department, Carnegie Mellon University, Pittsburgh, USA",education
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,2.0,2.0,P.S. Heckbert,https://openalex.org/A350629882,"Carnegie Mellon University, USA",education
2009,10.1109/TVCG.2009.111,A Nested Model for Visualization Design and Validation,1.0,1.0,Tamara Munzner,https://openalex.org/A544170546,"University of British Columbia, Canada",education
1994,10.1109/VISUAL.1994.346302,XmdvTool: integrating multiple methods for visualizing multivariate data,1.0,1.0,M.O. Ward,https://openalex.org/A2102429099,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",education
2000,10.1109/INFVIS.2000.885092,A taxonomy of visualization techniques using the data state reference model,1.0,1.0,E.H. Chi,https://openalex.org/A2237883256,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",facility
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3.0,1.0,Nathalie Henry,https://openalex.org/A2141074253,"University of Sydney, Australia",education
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3.0,2.0,Jean-Daniel Fekete,https://openalex.org/A2154968417,"INRIA Futurs and Laboratory RI UMR CNRS 5800, France",government
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3.0,3.0,Michael J. McGuffin,https://openalex.org/A2017391874,"Ontario Cancer Institute, University of Toronto, Canada",education
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3.0,1.0,Ying-Huey Fua,https://openalex.org/A1255825317,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",education
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3.0,2.0,M.O. Ward,https://openalex.org/A2102429099,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",education
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3.0,3.0,E.A. Rundensteiner,https://openalex.org/A2289414603,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",education
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,1.0,John Stasko,,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",education
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,2.0,Carsten Gorg,,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",education
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,3.0,Zhicheng Liu,,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",education
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,4.0,Kanupriya Singhal,,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",education
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3.0,1.0,J. Kniss,https://openalex.org/A2304607896,"Scientific Computing and Imaging Institute, School of Computing, University of Utah, USA",education
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3.0,2.0,G. Kindlmann,https://openalex.org/A275330042,"Scientific Computing and Imaging Institute, School of Computing, University of Utah, USA",education
