Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Country Code
2007,10.1109/TVCG.2007.70570,Interactive Visual Exploration of a Large Spatio-temporal Dataset: Reflections on a Geovisualization Mashup.,4.0,2.0,Jason Dykes,https://openalex.org/A2144192189,gicentre department of information science city university london,GB
2007,10.1109/TVCG.2007.70570,Interactive Visual Exploration of a Large Spatio-temporal Dataset: Reflections on a Geovisualization Mashup.,4.0,3.0,Aidan Slingsby,https://openalex.org/A2009660514,department of information science city university london uk,GB
2007,10.1109/TVCG.2007.70570,Interactive Visual Exploration of a Large Spatio-temporal Dataset: Reflections on a Geovisualization Mashup.,4.0,4.0,Keith Clarke,https://openalex.org/A2172250303,department of geography uc santa barbara,US
2005,10.1109/INFVIS.2005.1532142,Graph-theoretic scagnostics,3.0,1.0,L. Wilkinson,https://openalex.org/A2098682828,northwestern university usa,US
2005,10.1109/INFVIS.2005.1532142,Graph-theoretic scagnostics,3.0,2.0,A. Anand,https://openalex.org/A2088213256,university of illinois chicago chicago usa,US
2005,10.1109/INFVIS.2005.1532142,Graph-theoretic scagnostics,3.0,3.0,R. Grossman,https://openalex.org/A3167806524,university of illinois chicago chicago usa,US
1995,10.1109/VISUAL.1995.480803,A rule-based tool for assisting colormap selection,3.0,1.0,L.D. Bergman,https://openalex.org/A2973940731,ibm thomas j watson research center yorktown heights ny usa,US
1995,10.1109/VISUAL.1995.480803,A rule-based tool for assisting colormap selection,3.0,2.0,B.E. Rogowitz,https://openalex.org/A566355492,ibm thomas j watson research center yorktown heights ny usa,US
1995,10.1109/VISUAL.1995.480803,A rule-based tool for assisting colormap selection,3.0,3.0,L.A. Treinish,https://openalex.org/A2017298756,ibm thomas j watson research center yorktown heights ny usa,US
2005,10.1109/VISUAL.2005.1532856,VolumeShop: an interactive system for direct volume illustration,2.0,1.0,S. Bruckner,https://openalex.org/A2117564997,institute of computer graphics and algorithms university of technology vienna austria,AT
2005,10.1109/VISUAL.2005.1532856,VolumeShop: an interactive system for direct volume illustration,2.0,2.0,M.E. Groller,https://openalex.org/A1981749074,institute of computer graphics and algorithms university of technology vienna austria,AT
2004,10.1109/INFVIS.2004.59,Rethinking Visualization: A High-Level Taxonomy,2.0,1.0,M. Tory,https://openalex.org/A3145702239,graphics usability and visualization lab school of computing science simon fraser university canada,CA
2004,10.1109/INFVIS.2004.59,Rethinking Visualization: A High-Level Taxonomy,2.0,2.0,T. Moller,https://openalex.org/A2682213054,graphics usability and visualization lab school of computing science simon fraser university canada,CA
1998,10.1109/INFVIS.1998.729560,An operator interaction framework for visualization systems,2.0,1.0,Ed Huai-Hsin Chi,https://openalex.org/A2237883256,department of computer science and engineering university of minnesota usa,US
1998,10.1109/INFVIS.1998.729560,An operator interaction framework for visualization systems,2.0,2.0,J.T. Riedl,https://openalex.org/A1986422195,department of computer science and engineering university of minnesota usa,US
1999,10.1109/INFVIS.1999.801854,Does animation help users build mental maps of spatial information?,2.0,1.0,B.B. Bederson,https://openalex.org/A2046653803,computer science department human computer interaction laboratory institute for advanced computer studies university of maryland college park md usa,US
1999,10.1109/INFVIS.1999.801854,Does animation help users build mental maps of spatial information?,2.0,2.0,A. Boltman,https://openalex.org/A2974213378,college of education human computer interaction laboratory institute for advanced computer studies university of maryland college park md usa,US
1997,10.1109/INFVIS.1997.636786,Nonlinear magnification fields,2.0,1.0,T.A. Keahey,https://openalex.org/A1546161325,indiana university bloomington bloomington in us,US
1997,10.1109/INFVIS.1997.636786,Nonlinear magnification fields,2.0,2.0,E.L. Robertson,https://openalex.org/A2776884158,indiana university ,US
2004,10.1109/VISUAL.2004.48,Importance-driven volume rendering,3.0,1.0,I. Viola,https://openalex.org/A1984815221,institute of computer graphics and algorithms university of technology vienna austria,AT
2004,10.1109/VISUAL.2004.48,Importance-driven volume rendering,3.0,2.0,A. Kanitsar,https://openalex.org/A101837688,institute of computer graphics and algorithms university of technology vienna austria,AT
2004,10.1109/VISUAL.2004.48,Importance-driven volume rendering,3.0,3.0,M.E. Groller,https://openalex.org/A1981749074,institute of computer graphics and algorithms university of technology vienna austria,AT
2010,10.1109/TVCG.2010.129,A Visual Backchannel for Large-Scale Events,4.0,1.0,Marian Dörk,https://openalex.org/A60800564,university of calgary canada,CA
2010,10.1109/TVCG.2010.129,A Visual Backchannel for Large-Scale Events,4.0,2.0,Daniel Gruen,https://openalex.org/A1974034859,ibm research division ibm thomas j watson research center usa,US
2010,10.1109/TVCG.2010.129,A Visual Backchannel for Large-Scale Events,4.0,3.0,Carey Williamson,https://openalex.org/A2139917975,university of calgary canada,CA
2010,10.1109/TVCG.2010.129,A Visual Backchannel for Large-Scale Events,4.0,4.0,Sheelagh Carpendale,https://openalex.org/A2012282979,university of calgary canada,CA
1996,10.1109/VISUAL.1996.567787,A linear iteration time layout algorithm for visualising high-dimensional data,1.0,1.0,M. Chalmers,https://openalex.org/A2141153954,ubilab union bank of switzerland switzerland,CH
2004,10.1109/INFVIS.2004.12,Building Highly-Coordinated Visualizations in Improvise,1.0,1.0,C. Weaver,https://openalex.org/A2209975384,computer science department university of wisconsin madison usa,US
1995,10.1109/VISUAL.1995.480800,Virtual GIS: a real-time 3D geographic information system,6.0,1.0,D. Koller,https://openalex.org/A2162899512,coll of comput georgia inst of technol atlanta ga usa,US
1995,10.1109/VISUAL.1995.480800,Virtual GIS: a real-time 3D geographic information system,6.0,2.0,P. Lindstrom,https://openalex.org/A2278655031,graphics visualizaton usability center college of computing georgia institute of technology atlanta ga usa,US
1995,10.1109/VISUAL.1995.480800,Virtual GIS: a real-time 3D geographic information system,6.0,3.0,W. Ribarsky,https://openalex.org/A1992120996,graphics visualizaton usability center college of computing georgia institute of technology atlanta ga usa,US
1995,10.1109/VISUAL.1995.480800,Virtual GIS: a real-time 3D geographic information system,6.0,4.0,L.F. Hodges,https://openalex.org/A2056450520,graphics visualizaton usability center college of computing georgia institute of technology atlanta ga usa,US
1995,10.1109/VISUAL.1995.480800,Virtual GIS: a real-time 3D geographic information system,6.0,5.0,N. Faust,https://openalex.org/A1975135913,georgia tech research institute georgia institute of technology usa,US
1995,10.1109/VISUAL.1995.480800,Virtual GIS: a real-time 3D geographic information system,6.0,6.0,G. Turner,https://openalex.org/A2302999526,army research laboratory information processing branch,US
2002,10.1109/VISUAL.2002.1183793,Scalable alignment of large-format multi-projector displays using camera homography trees,4.0,1.0,Han Chen,https://openalex.org/A2702607318,computer science princeton university usa,US
2002,10.1109/VISUAL.2002.1183793,Scalable alignment of large-format multi-projector displays using camera homography trees,4.0,2.0,R. Sukthankar,https://openalex.org/A1436821675,hp laboratories crl the robotics institute cmu usa,US
2002,10.1109/VISUAL.2002.1183793,Scalable alignment of large-format multi-projector displays using camera homography trees,4.0,3.0,G. Wallace,https://openalex.org/A2286689323,computer science princeton university usa,US
2002,10.1109/VISUAL.2002.1183793,Scalable alignment of large-format multi-projector displays using camera homography trees,4.0,4.0,Kai Li,https://openalex.org/A2166597129,computer science princeton university usa,US
2010,10.1109/VAST.2010.5652922,Diamonds in the rough: Social media visual analytics for journalistic inquiry,3.0,1.0,Nicholas Diakopoulos,https://openalex.org/A2893893260,school of communication and information rutgers university usa,US
2010,10.1109/VAST.2010.5652922,Diamonds in the rough: Social media visual analytics for journalistic inquiry,3.0,2.0,Mor Naaman,https://openalex.org/A1220470961,school of communication and information rutgers university usa,US
2010,10.1109/VAST.2010.5652922,Diamonds in the rough: Social media visual analytics for journalistic inquiry,3.0,3.0,Funda Kivran-Swaine,https://openalex.org/A25584339,school of communication and information rutgers university usa,US
